title,startingPrice,condition,description
Anel de prata vintage,49.90,USED,Prata 925 com marcas leves de uso
Bolsa artesanal de couro,129.00,USED,Bolsa marrom média com alça regulável
Camisa retrô do Flamengo,89.50,USED,Camisa oficial antiga tamanho G
Conjunto de xícaras de porcelana,59.00,USED,6 peças com detalhes dourados
Fone bluetooth lacrado,149.90,NEW,Fone sem fio com estojo de carga
Luminária industrial preta,119.00,REFURBISHED,Luminária revisada com pintura nova
Moeda comemorativa brasileira,39.90,USED,Peça para coleção em bom estado
Óculos de sol estilo aviador,74.90,USED,Armação dourada com estojo incluso
Relógio analógico clássico,199.00,USED,Mostrador branco e pulseira em couro
Tênis casual branco,159.90,NEW,Tamanho 41 sem uso na caixa
